---  ----  ----  ----  ----  ----  ----
     2016  2017  2018  2019  2020  2021
PHA    20    17    29    20    20    12
STC    99    58    94    81    73    42
JHC    47    47    46    54    33    34
PLK    35    50    39    26    27    19
ULK    29    42    34    39    36    21
HKK    30    22    15    43    21    22
JHM    44    51    48    54    46    30
MSK    43    43    49    47    36    21
OLK    34    24    30    29    22    25
ZLK    26    24    22    19    21    18
VYS    26    29    34    34    35    14
PAK    35    29    30    29    23    11
LBK    18    24    19     9    13    10
KVK    13    12    20    13    11     6
---  ----  ----  ----  ----  ----  ----
